School Code,School Name,Latitude,Longitude,Centre Type,Independent Public School,Actual Floor Number,Actual Building Name,Actual Street Number,Actual Street Name,Actual Suburb/Town,Actual Postcode,OIC Title,Postal Address 1,Postal Address 2,Postal Address 3,Postal Address Post Code,Band,Phone Number,Restrict Contact to Outside Teaching Hours,Fax Number,Internet Site,Official Low Year Level,Official High Year Level,DoE Geographic Region,Federal Electorate,State Electorate,Local Government Area,Host Centre Name,Host Centre Code,Host Centre Type,
5899,Heights College,-23.328796,150.515586,Non-State School,N,,,,Cnr Carlton Street & Yaamba Road,North Rockhampton,4701,Headmaster,PO Box 5671,Central Queensland MC,,4702,,(07) 4936 1076,N,(07) 4936 3952,www.heights.qld.edu.au,Prep Year,Year 12,Central Queensland,Capricornia,Rockhampton,Rockhampton (R),5899,Heights College,Non-State School,
5900,Glenvale SS - Special Education Program,-27.562532,151.902838,Special Education Program,N,,,224,Glenvale Road,Glenvale,4350,Head of Special Education Services,224 Glenvale Road,MST 2223,Toowoomba,4350,5,(07) 4659 2111,N,(07) 4659 2100,,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),126,Glenvale State School,State School,
5901,Gordonvale SHS - Special Education Program,-17.088716,145.778389,Special Education Program,N,,,85,Sheppards Street,Gordonvale,4865,Head of Special Education Services,PO Box 66,Gordonvale,,4865,5,(07) 4043 3222,N,(07) 4056 3990,,Prep Year,Year 12,Far North Queensland,Kennedy,Mulgrave,Cairns (R),2106,Gordonvale State High School,State High School,
5902,Gordonvale SS - Special Education Program,-17.090076,145.785022,Special Education Program,N,,,28,George Street,Gordonvale,4865,Teacher-in-Charge,PO Box 103,Gordonvale,,4865,5,(07) 4043 3666,N,(07) 4043 3600,,Prep Year,Year 6,Far North Queensland,Kennedy,Mulgrave,Cairns (R),790,Gordonvale State School,State School,
5905,Harris Fields SS - Special Education Program,-27.629999,153.115619,Special Education Program,N,,,10-38,Smith Road,Woodridge,4114,Teacher-in-Charge,PO Box 996,Slacks Creek,,4127,,(07) 3387 1222,N,(07) 3387 1200,,Prep Year,Year 6,South East,Rankin,Woodridge,Logan (C),359,Harris Fields State School,State School,
5907,Hatton Vale SS - Special Education Program,-27.543442,152.47098,Special Education Program,N,,,,Hannant Road,Hatton Vale,4341,Head of Special Education Services,Hannant Road,Hatton Vale,,4341,6,(07) 5460 4333,N,(07) 5460 4300,,Early Childhood,Year 6,Darling Downs South West,Wright,Lockyer,Lockyer Valley (R),390,Hatton Vale State School,State School,
5908,Helensvale SS - Special Education Program,-27.915934,153.327968,Special Education Program,N,,,8,Lindfield Road,Helensvale,4212,Head of Special Education Services,Lindfield Road,Helensvale,,4212,5,(07) 5556 1333,N,(07) 5556 1300,,Prep Year,Year 6,South East,Fadden,Theodore,Gold Coast (C),1929,Helensvale State School,State School,
5910,Ingham SS - Special Education Program,-18.652592,146.161583,Special Education Program,N,,,28,McIlwraith Street,Ingham,4850,Head of Special Education Services,PO Box 388,Ingham,,4850,5,(07) 4776 9333,N,(07) 4776 9300,,Early Childhood,Year 6,North Queensland,Kennedy,Hinchinbrook,Hinchinbrook (S),450,Ingham State School,State School,
5911,Isabella SS - Special Education Program,-17.015655,145.723113,Special Education Program,N,,,,Walker Road,Edmonton,4869,Head of Special Education Services,PO Box 874,Edmonton,,4869,5,(07) 4040 8777,N,(07) 4040 8700,,Prep Year,Year 6,Far North Queensland,Kennedy,Mulgrave,Cairns (R),1721,Isabella State School,State School,
5912,Kalkie SS - Special Education Program,-24.846446,152.397447,Special Education Program,N,,,,Bargara Road,Kalkie,4670,Head of Special Education Services,PO Box 6226,Bundaberg East,,4670,5,(07) 4150 7444,N,(07) 4150 7400,,Prep Year,Year 6,North Coast,Hinkler,Bundaberg,Bundaberg (R),277,Kalkie State School,State School,
5913,Karalee SS - Special Education Program,-27.562695,152.825435,Special Education Program,N,,,77,Arthur Summervilles Road,Karalee,4306,Teacher-in-Charge,Arthur Summervilles Road,Karalee,,4306,,(07) 3294 5333,N,(07) 3294 5300,,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),1938,Karalee State School,State School,
5914,Kimberley Park SS - Special Education Program,-27.647368,153.177399,Special Education Program,N,,,,Floret Street,Shailer Park,4128,Head of Special Education Services,Floret Street,Shailer Park,,4128,5,(07) 3451 5333,N,,,Prep Year,Year 6,South East,Forde,Springwood,Logan (C),1937,Kimberley Park State School,State School,
5915,Kin Kora SS - Special Education Program,-23.878189,151.253535,Special Education Program,N,,,43,Hibiscus Avenue,Kin Kora,4680,Head of Special Education Services,43 Hibiscus Avenue,Gladstone,,4680,5,(07) 4971 5111,N,(07) 4971 5100,,Prep Year,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),1912,Kin Kora State School,State School,
5916,Kingston State College - Special Education Program,-27.664135,153.112162,Special Education Program,N,,,62-84,Bega Road,Kingston,4114,Head of Special Education Services,PO Box 100,Woodridge,,4114,7,(07) 3826 1333,N,(07) 3208 8803,,Year 7,Year 12,South East,Rankin,Woodridge,Logan (C),2139,Kingston State College,State High School,
5917,Kippa-Ring SS - Special Education Program,-27.230427,153.086468,Special Education Program,N,,,400,Elizabeth Avenue,Kippa-Ring,4021,Teacher-in-Charge,PO Box 3183,Clontarf DC,,4019,,(07) 3897 5333,N,(07) 3897 5300,,Prep Year,Year 6,North Coast,Petrie,Redcliffe,Moreton Bay (R),616,Kippa-Ring State School,State School,
5918,Kowanyama SS - Special Education Program,-15.472102,141.745196,Special Education Program,N,,,345,Kowanyama Street,Kowanyama,4892,Teacher-in-Charge,c/- Post Office,Kowanyama,,4892,,(07) 4060 5158,N,(07) 4060 5280,,Prep Year,Year 10,Far North Queensland,Leichhardt,Cook,Kowanyama (S),460,Kowanyama State School,State School,
5919,Kurwongbah SS - Special Education Program,-27.255658,152.969074,Special Education Program,N,,,,Eacham Street,Petrie,4502,Head of Special Education Services,Eacham Street,Petrie,,4502,5,(07) 3481 4333,N,(07) 3481 4300,,Prep Year,Year 6,North Coast,Dickson,Kurwongbah,Moreton Bay (R),1958,Kurwongbah State School,State School,
5920,Lawnton SS - Special Education Program,-27.281835,152.974784,Special Education Program,N,,,,Todds Road,Lawnton,4501,Teacher-in-Charge,PO Box 183,Lawnton,,4501,,(07) 3481 4888,N,(07) 3481 4800,,Prep Year,Year 6,North Coast,Dickson,Kurwongbah,Moreton Bay (R),329,Lawnton State School,State School,
5921,Leichhardt SS - Special Education Program,-27.624933,152.736926,Special Education Program,N,,,72,Samford Road,Leichhardt,4305,Head of Special Education Services,72 Samford Road,Leichhardt,,4305,5,(07) 3813 3222,N,(07) 3813 3200,,Prep Year,Year 6,Metropolitan,Blair,Ipswich West,Ipswich (C),1148,Leichhardt State School,State School,
5922,Logan Village SS - Special Education Program,-27.765317,153.106354,Special Education Program,N,,,,North Street,Logan Village,4207,Head of Special Education Services,North Street,Logan Village,,4207,5,(07) 5547 2222,N,(07) 5547 2200,,Prep Year,Year 6,South East,Wright,Logan,Logan (C),123,Logan Village State School,State School,
5923,Loganholme SS - Special Education Program,-27.686306,153.180642,Special Education Program,N,,,,Wandilla Crescent,Loganholme,4129,Teacher-in-Charge,PO Box 3055,Loganholme,,4129,,(07) 3801 9333,N,(07) 3801 9300,www.loganholmess.eq.edu.au,Prep Year,Year 6,South East,Forde,Waterford,Logan (C),70,Loganholme State School,State School,
5924,Malanda SS - Special Education Program,-17.348945,145.594639,Special Education Program,N,,,24,Mary Street,Malanda,4885,Teacher-in-Charge,PO Box 15,Malanda,,4885,,(07) 4096 7888,N,(07) 4096 5660,,Prep Year,Year 6,Far North Queensland,Kennedy,Hill,Tablelands (R),1396,Malanda State School,State School,
5925,Mary Valley State College - Special Education Program,-26.461766,152.679247,Special Education Program,N,,,15,Edward Street,Imbil,4570,Teacher-in-Charge,Edward Street,Imbil,,4570,,(07) 5488 5333,N,(07) 5488 5300,,Prep Year,Year 10,North Coast,Wide Bay,Gympie,Gympie (R),465,Mary Valley State College,State School,
5926,Maryborough SHS - Special Education Program,-25.534425,152.69756,Special Education Program,N,,,,Kent Street,Maryborough,4650,Head of Special Education Services,Kent Street,Maryborough,,4650,5,(07) 4120 9333,N,(07) 4120 9300,www.maryboroshs.eq.edu.au,Year 7,Year 12,North Coast,Wide Bay,Maryborough,Fraser Coast (R),2020,Maryborough State High School,State High School,
5927,McDowall SS - Special Education Program,-27.388021,152.98995,Special Education Program,N,,,1018,Rode Road,Mcdowall,4053,Teacher-in-Charge,PO Box 493,Everton Park,,4053,5,(07) 3872 5333,N,(07) 3872 5300,,Prep Year,Year 6,Metropolitan,Lilley,Everton,Brisbane (C),378,McDowall State School,State School,
5928,Middle Ridge SS - Special Education Program,-27.601717,151.956495,Special Education Program,N,,,203,Spring Street,Middle Ridge,4350,Head of Special Education Services,203 Spring Street,Middle Ridge,Toowoomba,4350,5,(07) 4687 4222,N,(07) 4687 4200,,Prep Year,Year 6,Darling Downs South West,Groom,Toowoomba South,Toowoomba (R),414,Middle Ridge State School,State School,
5929,Monto Cluster - Special Education Program,-24.869915,151.118564,Special Education Program,N,,,,Mouatt Street,Monto,4630,Head of Special Education Services,PO Box 141,Monto,,4630,5,(07) 4166 9555,N,(07) 4166 9500,,Prep Year,Year 12,Central Queensland,Flynn,Callide,North Burnett (R),2098,Monto State High School,State High School,
5930,Moranbah SHS - Special Education Program,-22.000422,148.059443,Special Education Program,N,,,,Mills Avenue,Moranbah,4744,Head of Special Education Services,PO Box 63,Moranbah,,4744,5,(07) 4949 2111,N,(07) 4949 2100,,Year 7,Year 12,Central Queensland,Capricornia,Burdekin,Isaac (R),2135,Moranbah State High School,State High School,
5931,Morningside SS - Special Education Program,-27.46422,153.066999,Special Education Program,N,,,67,Pashen Street,Morningside,4170,Head of Special Education Services,67 Pashen Street,Morningside,,4170,5,(07) 3908 2333,N,(07) 3908 2300,,Prep Year,Year 6,Metropolitan,Griffith,Bulimba,Brisbane (C),1803,Morningside State School,State School,
5932,Mount Crosby SS - Special Education Program,-27.550823,152.807094,Special Education Program,N,,,,Mount Crosby Road,Karana Downs,4306,Head of Special Education Services,Mount Crosby Road,Karana Downs,,4306,5,(07) 3813 2222,N,(07) 3813 2200,,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),267,Mount Crosby State School,State School,
5934,Narangba SS - Special Education Program,-27.205689,152.961495,Special Education Program,N,,,,School Street,Narangba,4504,Head of Special Education Services,School Street,Narangba,,4504,5,(07) 3491 1333,N,(07) 3491 1300,,Prep Year,Year 6,North Coast,Longman,Kurwongbah,Moreton Bay (R),1200,Narangba State School,State School,
5936,Norris Road SS - Special Education Program,-27.316658,153.025013,Special Education Program,N,,,28,Greenore Street,Bracken Ridge,4017,Head of Special Education Services,28 Greenore Street,Bracken Ridge,,4017,5,(07) 3261 0777,N,(07) 3261 0700,,Prep Year,Year 6,Metropolitan,Petrie,Sandgate,Brisbane (C),1863,Norris Road State School,State School,
5937,North Lakes State College - Special Education Program,-27.236555,153.023533,Special Education Program,N,,,,Memorial Drive,North Lakes,4509,Head of Special Education Services,PO Box 335,Mango Hill,,4509,7,(07) 3482 5555,N,(07) 3482 5500,,Prep Year,Year 12,North Coast,Petrie,Bancroft,Moreton Bay (R),2324,North Lakes State College,State School,
5938,Northern Beaches SHS - Special Education Program,-19.247948,146.67356,Special Education Program,N,,,,Meranti Street,Deeragun,4818,Head of Special Education Services,PO Box 200,Deeragun,,4818,5,(07) 4751 7111,N,(07) 4751 7100,,Year 7,Year 12,North Queensland,Herbert,Hinchinbrook,Townsville (C),211,Northern Beaches State High School,State High School,
5939,Northern Peninsula Area College - Special Education Program,-10.895205,142.385802,Special Education Program,N,,,,Sagaukaz Street,Bamaga,4876,Teacher-in-Charge,PO Box 100,Bamaga,,4876,5,(07) 4090 4444,N,(07) 4090 4300,,Prep Year,Year 12,Far North Queensland,Leichhardt,Cook,Northern Peninsula Area (R),1243,Northern Peninsula Area State College,State School,
5940,Oonoonba SS - Special Education Program,-19.304579,146.812264,Special Education Program,N,,,,Fairfield Waters Drive,Idalia,4811,Head of Special Education Services,PO Box 1077,Oonoonba,,4811,5,(07) 4799 8333,N,(07) 4799 8300,,Prep Year,Year 6,North Queensland,Dawson,Mundingburra,Townsville (C),556,Oonoonba State School,State School,
5941,Pacific Paradise SS - Special Education Program,-26.614227,153.079317,Special Education Program,N,,,14-24,Menzies Drive,Pacific Paradise,4564,Head of Special Education Services,14-24 Menzies Drive,Pacific Paradise,,4564,5,(07) 5457 2333,N,(07) 5457 2300,www.pacificparadisess.eq.edu.au,Prep Year,Year 6,North Coast,Fairfax,Maroochydore,Sunshine Coast (R),1991,Pacific Paradise State School,State School,
5942,Park Ridge SS - Special Education Program,-27.701652,153.038861,Special Education Program,N,,,3776,Mt Lindesay Highway,Park Ridge,4125,Head of Special Education Services,3776 Mt Lindesay Highway,Park Ridge,,4125,5,(07) 3380 4333,N,(07) 3380 4300,,Prep Year,Year 6,South East,Forde,Logan,Logan (C),515,Park Ridge State School,State School,
5943,Patricks Road SS - Special Education Program,-27.393243,152.934851,Special Education Program,N,,,,Patricks Road,Ferny Hills,4055,Teacher-in-Charge,Patricks Road,Ferny Hills,,4055,,(07) 3872 1888,N,(07) 3872 1800,,Prep Year,Year 6,Metropolitan,Dickson,Ferny Grove,Moreton Bay (R),1864,Patricks Road State School,State School,
5944,Payne Road SS - Special Education Program,-27.449445,152.951438,Special Education Program,N,,,171,Payne Road,The Gap,4061,Head of Special Education Services,PO Box 33,The Gap,,4061,,(07) 3511 3111,N,(07) 3511 3100,WWW.payneroadss.eq.edu.au,Prep Year,Year 6,Metropolitan,Ryan,Cooper,Brisbane (C),286,Payne Road State School,State School,
5945,Petrie SS - Special Education Program,-27.267544,152.972216,Special Education Program,N,,,42,Dayboro Road,Petrie,4502,Head of Special Education Services,42 Dayboro Road,Petrie,,4502,5,(07) 3285 0333,N,(07) 3285 0300,,Prep Year,Year 6,North Coast,Dickson,Kurwongbah,Moreton Bay (R),183,Petrie State School,State School,
5946,Robina SHS - Special Education Program,-28.073544,153.376815,Special Education Program,N,,,,Investigator Drive,Robina,4226,Head of Special Education Services,Investigator Drive,Robina,,4226,6,(07) 5562 3444,N,(07) 5562 3400,,Year 7,Year 12,South East,Mcpherson,Mudgeeraba,Gold Coast (C),195,Robina State High School,State High School,
5947,Robina SS - Special Education Program,-28.071232,153.399122,Special Education Program,N,,,,Killarney Avenue,Robina,4226,Head of Special Education Services,Killarney Avenue,Robina,,4226,5,(07) 5562 4111,N,(07) 5562 4100,,Prep Year,Year 6,South East,Mcpherson,Mermaid Beach,Gold Coast (C),1982,Robina State School,State School,
5948,Rochedale SHS - Special Education Program,-27.585626,153.111492,Special Education Program,N,,,249,Priestdale Road,Rochedale,4123,Head of Special Education Services,PO Box 3340,Logan City DC,,4114,5,(07) 3340 0432,N,(07) 3340 0444,,Year 7,Year 12,Metropolitan,Bonner,Mansfield,Brisbane (C),2158,Rochedale State High School,State High School,
5949,Rochedale South SS - Special Education Program,-27.5906,153.129898,Special Education Program,N,,,,Wendron Street,Rochedale South,4123,Teacher-in-Charge,Wendron Street,Rochedale South,,4123,5,(07) 3340 0777,N,(07) 3340 0700,,Prep Year,Year 6,South East,Rankin,Springwood,Logan (C),1886,Rochedale South State School,State School,
5950,Rochedale SS - Special Education Program,-27.580092,153.125368,Special Education Program,N,,,694,Rochedale Road,Rochedale,4123,Head of Special Education Services,694 Rochedale Road,Rochedale,,4123,5,(07) 3340 8333,N,(07) 3340 8300,,Prep Year,Year 6,Metropolitan,Bonner,Mansfield,Brisbane (C),1638,Rochedale State School,State School,
5951,Rosedale SS - Special Education Program,-24.623708,151.914749,Special Education Program,N,,,21,James Street,Rosedale,4674,Head of Special Education Services,21 James Street,Rosedale,,4674,5,(07) 4156 5777,N,(07) 4156 5700,,Prep Year,Year 12,North Coast,Flynn,Burnett,Gladstone (R),759,Rosedale State School,State School,
5952,Runcorn Heights SS - Special Education Program,-27.604541,153.069699,Special Education Program,N,,,200,Nemies Road,Runcorn,4113,Teacher-in-Charge,200 Nemies Road,Runcorn,,4113,,(07) 3711 8333,N,(07) 3711 8300,www.runcheigss.eq.edu.au,Prep Year,Year 6,Metropolitan,Moreton,Stretton,Brisbane (C),472,Runcorn Heights State School,State School,
5953,Samford SS - Special Education Program,-27.376571,152.880758,Special Education Program,N,,,,School Road,Samford Village,4520,Teacher-in-Charge,PO Box 854,Samford,,4520,5,(07) 3430 9111,N,(07) 3430 9100,,Prep Year,Year 6,Metropolitan,Dickson,Pine Rivers,Moreton Bay (R),94,Samford State School,State School,
5954,Sandgate SS - Special Education Program,-27.320893,153.065898,Special Education Program,N,,,54,Rainbow Street,Sandgate,4017,Teacher-in-Charge,54 Rainbow Street,Sandgate,,4017,,(07) 3869 7111,N,(07) 3869 7100,,Prep Year,Year 6,Metropolitan,Lilley,Sandgate,Brisbane (C),153,Sandgate State School,State School,
5955,Sarina SHS - Special Education Program,-21.420889,149.213698,Special Education Program,N,,,,Anzac Street,Sarina,4737,Head of Special Education Services,PO Box 218,Sarina,,4737,5,(07) 4943 8111,N,(07) 4943 8100,,Year 7,Year 12,Central Queensland,Capricornia,Mirani,Mackay (R),2101,Sarina State High School,State High School,
5956,Serviceton South SS - Special Education Program,-27.605899,152.976952,Special Education Program,N,,,59,Lorikeet Street,Inala,4077,Teacher-in-Charge,PO Box 4019,Forest Lake,,4078,,(07) 3714 0222,N,(07) 3714 0200,,Prep Year,Year 6,Metropolitan,Oxley,Inala,Brisbane (C),590,Serviceton South State School,State School,
5957,Springwood SHS - Special Education Program,-27.612607,153.135963,Special Education Program,N,,,202,Springwood Road,Springwood,4127,Head of Special Education Services,PO Box 77,Springwood,,4127,5,(07) 3380 6111,N,(07) 3380 6100,,Year 7,Year 12,South East,Rankin,Springwood,Logan (C),2140,Springwood State High School,State High School,
5959,Strathpine SS - Special Education Program,-27.293907,152.990241,Special Education Program,N,,,,Don Court,Strathpine,4500,Teacher-in-Charge,PO Box 582,Strathpine,,4500,,(07) 3482 9222,N,(07) 3482 9200,,Prep Year,Year 6,North Coast,Dickson,Pine Rivers,Moreton Bay (R),1245,Strathpine State School,State School,
5960,Stretton State College - Special Education Program,-27.638021,153.057579,Special Education Program,N,,,,Gowan Road,Stretton,4116,Head of Special Education Services,PO Box 1840,Sunnybank Hills,,4109,7,(07) 3723 0333,N,(07) 3723 0300,,Prep Year,Year 12,Metropolitan,Rankin,Stretton,Brisbane (C),5554,Stretton State College,State School,
5961,Sunshine Beach SS - Special Education Program,-26.402724,153.102324,Special Education Program,N,,,,David Low Way,Sunshine Beach,4567,Teacher-in-Charge,David Low Way,Sunshine Beach,,4567,,(07) 5474 6333,N,(07) 5474 6300,www.sunshinebeachss.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Noosa,Noosa (S),1917,Sunshine Beach State School,State School,
5962,Taigum SS - Special Education Program,-27.347859,153.040202,Special Education Program,N,,,266,Handford Road,Taigum,4018,Head of Special Education Services,266 Handford Road,Taigum,,4018,5,(07) 3632 9888,N,(07) 3632 9800,,Early Childhood,Year 6,Metropolitan,Lilley,Sandgate,Brisbane (C),1112,Taigum State School,State School,
5963,Tannum Sands SHS - Special Education Program,-23.959627,151.364315,Special Education Program,N,,,65,Coronation Drive,Tannum Sands,4680,Head of Special Education Services,PO Box 3058,Tannum Sands,,4680,5,(07) 4979 9777,N,(07) 4979 9700,,Prep Year,Year 12,Central Queensland,Flynn,Gladstone,Gladstone (R),231,Tannum Sands State High School,State High School,
5964,Tannum Sands SS - Special Education Program,-23.950985,151.364842,Special Education Program,N,,,,Waratah Crescent,Tannum Sands,4680,Head of Special Education Services,PO Box 3056,Tannum Sands,,4680,5,(07) 4979 9111,N,(07) 4979 9100,,Prep Year,Year 6,Central Queensland,Flynn,Gladstone,Gladstone (R),1921,Tannum Sands State School,State School,
5965,The Gap SHS - Special Education Program,-27.445012,152.950484,Special Education Program,N,,,1020,Waterworks Road,The Gap,4061,Head of Special Education Services,PO Box 1,The Gap,,4061,5,(07) 3511 3888,N,(07) 3511 3800,,Year 7,Year 12,Metropolitan,Ryan,Cooper,Brisbane (C),2053,The Gap State High School,State High School,
5966,Tinana SS - Special Education Program,-25.558647,152.667593,Special Education Program,N,,,239,Gympie Road,Tinana,4650,Head of Special Education Services,Gympie Road,Tinana,Maryborough,4650,5,(07) 4120 8000,N,(07) 4121 3148,www.tinanass.eq.edu.au,Prep Year,Year 6,North Coast,Wide Bay,Maryborough,Fraser Coast (R),216,Tinana State School,State School,
5968,Kuranda District College - Special Education Program,-16.804496,145.617492,Special Education Program,N,,c/- Kuranda District College,260,Myola Road,Kuranda,4881,Head of Special Education Services,PO Box 454,Kuranda,,4881,5,(07) 4085 5333,N,(07) 4085 5301,,Prep Year,Year 12,Far North Queensland,Leichhardt,Barron River,Mareeba (S),5689,Kuranda District State College,State School,
5970,Radiant Life College,-17.539575,146.0348,Non-State School,N,,,1,Riley Street,East Innisfail,4860,Principal,PO Box 693,Beenleigh,,4207,,(07) 4061 7022,,,,Prep Year,Year 7,Far North Queensland,Kennedy,Hill,Cassowary Coast (R),5970,Radiant Life College,Non-State School,
5971,Northern Peninsula Area State College - Senior Campus,-10.895205,142.385802,Campus,N,,,,Sagaukaz Street,Bamaga,4876,Head of Campus,PO Box 100,Bamaga,,4876,8,(07) 4090 4333,N,(07) 4090 4300,www.northernpeninsulasc.eq.edu.au,Year 7,Year 12,Far North Queensland,Leichhardt,Cook,Northern Peninsula Area (R),1243,Northern Peninsula Area State College,State School,
5973,East Ayr SS - Special Education Program,-19.563472,147.416446,Special Education Program,N,,c/- State School,43-73,Ross Street,Ayr,4807,Head of Special Education Services,PO Box 951,Ayr,,4807,5,(07) 4783 0222,N,(07) 4783 0200,,Prep Year,Year 6,North Queensland,Dawson,Burdekin,Burdekin (S),908,East Ayr State School,State School,
5974,Boondall SS - Special Education Program,-27.348419,153.059312,Special Education Program,N,,c/- State School,,Cnr Sandgate & Roscommon Roads,Boondall,4034,Teacher-in-Charge,Cnr Sandgate & Roscommon Roads,Boondall,,4034,5,(07) 3623 8333,N,(07) 3623 8300,,Prep Year,Year 6,Metropolitan,Lilley,Nudgee,Brisbane (C),1603,Boondall State School,State School,
5975,Caravonica SS - Special Education Program,-16.852966,145.695369,Special Education Program,N,,A Block,Lot 3,Kamerunga Road,Caravonica,4878,Head of Special Education Services,PO Box 198,Smithfield,,4878,5,(07) 4037 4333,N,(07) 4037 4300,,Prep Year,Year 6,Far North Queensland,Leichhardt,Barron River,Cairns (R),927,Caravonica State School,State School,
5976,Chapel Hill SS - Special Education Program,-27.499336,152.944927,Special Education Program,N,,c/- State School,,Ironbark Road,Chapel Hill,4069,Teacher-in-Charge,PO Box 533,Kenmore,,4069,,(07) 3871 4888,N,(07) 3871 4800,,Prep Year,Year 6,Metropolitan,Ryan,Moggill,Brisbane (C),1872,Chapel Hill State School,State School,
5977,Chatswood Hills SS - Special Education Program,-27.628184,153.137454,Special Education Program,N,,c/- SChatswood Hills SS,,Raleigh Street,Springwood,4127,Teacher-in-Charge,PO Box 330,Springwood,,4127,5,(07) 3489 2222,N,(07) 3489 2200,,Prep Year,Year 6,South East,Rankin,Springwood,Logan (C),1924,Chatswood Hills State School,State School,
5978,Durack SS - Special Education Program,-27.597304,152.981888,Special Education Program,N,,,69,Inala Avenue,Durack,4077,Head of Special Education Services,69 Inala Avenue,Durack,,4077,5,(07) 3714 2666,N,(07) 3714 2600,www.durackss.eq.edu.au,Prep Year,Year 6,Metropolitan,Oxley,Inala,Brisbane (C),959,Durack State School,State School,
5980,Indooroopilly SHS - Special Education Program,-27.500587,152.984077,Special Education Program,N,,,,Ward Street,Indooroopilly,4068,Head of Special Education Services,PO Box 61,Indooroopilly,,4068,6,(07) 3327 8333,N,(07) 3327 8300,,Year 7,Year 12,Metropolitan,Ryan,Maiwar,Brisbane (C),2034,Indooroopilly State High School,State High School,
5981,Indooroopilly SS - Special Education Program,-27.500369,152.965494,Special Education Program,N,,c/- Indooroopilly State School,,Cnr Moggill Road & Russell Terrace,Indooroopilly,4068,Teacher-in-Charge,Cnr moggill Road & Russell Terrace,Indooroopilly,,4068,,(07) 3327 2333,N,(07) 3327 2300,,Prep Year,Year 6,Metropolitan,Ryan,Maiwar,Brisbane (C),585,Indooroopilly State School,State School,
5982,Ipswich East SS - Special Education Program,-27.606886,152.776929,Special Education Program,N,,c/- Ipswich East State School,,Jacaranda Street,East Ipswich,4305,Head of Special Education Services,Jacaranda Street,East Ipswich,,4305,5,(07) 3432 6333,N,(07) 3432 6300,www.ipsweastss.eq.edu.au,Prep Year,Year 6,Metropolitan,Blair,Ipswich,Ipswich (C),575,Ipswich East State School,State School,
5983,Mansfield SS - Special Education Program,-27.542384,153.105369,Special Education Program,N,,c/- Mansfield State School,174,Ham Road,Mansfield,4122,Teacher-in-Charge,174 Ham Road,Mansfield,,4122,,(07) 3421 3888,N,(07) 3421 3800,,Prep Year,Year 6,Metropolitan,Bonner,Mansfield,Brisbane (C),143,Mansfield State School,State School,
5984,Mansfield SHS - Special Education Program,-27.545492,153.105821,Special Education Program,N,,Mansfield SHS,,Corner Broadwater & Ham Road,Mansfield,4122,Head of Special Education Services,PO Box 229,Mount Gravatt,,4122,5,(07) 3452 5333,N,(07) 3452 5300,,Year 7,Year 12,Metropolitan,Bonner,Mansfield,Brisbane (C),2059,Mansfield State High School,State High School,
5985,Marshall Road SS - Special Education Program,-27.525289,153.058468,Special Education Program,N,,c/- Marshall Road State School,,Kurts Street,Holland Park West,4121,Teacher-in-Charge,Kurts Road,Holland Park West,,4121,,(07) 3422 8222,N,(07) 3422 8200,,Prep Year,Year 6,Metropolitan,Bonner,Greenslopes,Brisbane (C),708,Marshall Road State School,State School,
5987,Miles SS - Special Education Program,-26.656815,150.185634,Special Education Program,N,,c/- Miles State School,,Constance Street,Miles,4415,Head of Special Education Services,PO Box 63,Miles,,4415,5,(07) 4628 0333,N,(07) 4627 2219,,Early Childhood,Year 12,Darling Downs South West,Maranoa,Callide,Western Downs (R),341,Miles State School,State School,
5988,Tully SS - Special Education Program,-17.93863,145.922141,Special Education Program,N,,c/- Tully State School,21,Mars Street,Tully,4854,Head of Special Education Services,PO Box 573,Tully,,4854,6,(07) 4043 9333,N,(07) 4043 9300,,Prep Year,Year 6,Far North Queensland,Kennedy,Hill,Cassowary Coast (R),1008,Tully State School,State School,
5989,Milton SS - Special Education Program,-27.466889,152.998573,Special Education Program,N,,c/- Milton State School,,Bayswater Street,Milton,4064,Teacher-in-Charge,Bayswater Street,Milton,,4064,,(07) 3514 6333,N,(07) 3514 6300,,Prep Year,Year 6,Metropolitan,Brisbane,Maiwar,Brisbane (C),551,Milton State School,State School,
5990,Ormeau SS - Special Education Program,-27.799965,153.276681,Special Education Program,N,,Ormeau State School,29,Mirambeena Drive,Pimpama,4209,Head of Special Education Services,Mirambeena Drive,Pimpana,,4209,5,(07) 5546 6500,N,(07) 5546 7247,,Prep Year,Year 6,South East,Fadden,Coomera,Gold Coast (C),336,Ormeau State School,State School,
5991,Pacific Pines SS - Special Education Program,-27.939962,153.320279,Special Education Program,N,,Pacific Pines State School,,Santa Isobel Boulevard,Pacific Pines,4211,Head of Special Education Services,PO Box 534,Helensvale,,4212,5,(07) 5502 5333,N,(07) 5502 5300,,Prep Year,Year 6,South East,Fadden,Gaven,Gold Coast (C),1744,Pacific Pines State School,State School,
